"";"PK_IPC";"FK_PCO";"FK_PRO";"QUANTIDADE";"QTD_RECEB";"VALOR";"FK_MOE";"ENTREGA";"SEM_ENTREG";"FK_UNI";"QTD_CANC";"FOLLOWUP";"DT_FOLLOW";"DATA_IDEAL";"OBS";"VALOR_ANTERIOR";"DATA_ULT_ATUALIZACAO_FOLLOW";"FINALIDADE";"SOLICITANTE"
5947;157151.0;83507.0;5751.0;1000.0;1000.0;0.1926;1.0;"2019-02-12 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5948;157152.0;83508.0;5754.0;1000.0;1000.0;0.1926;1.0;"2019-02-12 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5949;157160.0;83513.0;2704.0;20000.0;20000.0;0.0607;1.0;"2019-03-11 00:00:00.000";112019.0;1.0;0.0;"";"";"2019-03-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5950;157167.0;83519.0;44403.0;105.0;0.0;7.87;2.0;"2019-05-20 00:00:00.000";212019.0;1.0;105.0;"";"";"2019-05-20 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5951;157192.0;83536.0;908.0;20000.0;20000.0;0.0541;1.0;"2019-03-25 00:00:00.000";132019.0;1.0;0.0;"";"";"2019-03-25 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5952;157194.0;83537.0;907.0;20000.0;20000.0;0.0522;1.0;"2019-03-04 00:00:00.000";102019.0;1.0;0.0;"";"";"2019-03-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5953;157193.0;83537.0;907.0;20000.0;20000.0;0.0522;1.0;"2019-03-11 00:00:00.000";112019.0;1.0;0.0;"";"";"2019-03-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5954;157711.0;83924.0;5741.0;1000.0;0.0;0.1997;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;1000.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5955;157712.0;83925.0;5745.0;1000.0;1000.0;0.1926;1.0;"2019-02-12 00:00:00.000";82019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5956;157713.0;83926.0;5746.0;1000.0;0.0;0.1997;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;1000.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5957;157715.0;83927.0;5749.0;1000.0;1000.0;0.1926;1.0;"2019-02-12 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5958;157714.0;83927.0;5749.0;1000.0;1000.0;0.1926;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;0.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5959;157716.0;83928.0;5751.0;1000.0;0.0;0.1997;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;1000.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5960;157717.0;83929.0;5754.0;1000.0;0.0;0.1997;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;1000.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5961;157290.0;83619.0;9986.0;800.0;800.0;0.3932;1.0;"2019-01-29 00:00:00.000";62019.0;5.0;0.0;"";"";"2019-01-29 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5962;157292.0;83621.0;7559.0;1500.0;1500.0;0.3781;1.0;"2019-02-05 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-05 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5963;157296.0;83625.0;7755.0;1000.0;1000.0;0.5048;1.0;"2019-02-12 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5964;157301.0;83630.0;37013.0;800.0;800.0;0.8593;1.0;"2019-02-05 00:00:00.000";62019.0;5.0;0.0;"";"";"2019-02-05 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5965;157308.0;83636.0;36984.0;300.0;300.0;1.994;1.0;"2019-02-05 00:00:00.000";62019.0;5.0;0.0;"";"";"2019-02-05 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5966;157309.0;83637.0;50069.0;500.0;0.0;7.0558;1.0;"2019-03-11 00:00:00.000";112019.0;5.0;500.0;"";"";"2019-03-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5967;157725.0;83937.0;44403.0;105.0;0.0;7.87;2.0;"2019-05-27 00:00:00.000";222019.0;1.0;105.0;"";"";"2019-05-27 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5968;157327.0;83651.0;20528.0;50.0;50.0;0.3782;1.0;"2019-02-11 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5969;157734.0;83945.0;44923.0;300.0;0.0;0.2481;2.0;"2019-04-08 00:00:00.000";152019.0;1.0;300.0;"";"";"2019-04-08 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5970;157735.0;83946.0;44921.0;27.0;0.0;17.68839;1.0;"2019-04-22 00:00:00.000";172019.0;1.0;27.0;"";"";"2019-04-22 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5971;157405.0;83706.0;45180.0;300.0;0.0;0.42;1.0;"2019-02-04 00:00:00.000";62019.0;5.0;300.0;"";"";"2019-02-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5972;157404.0;83706.0;45180.0;100.0;0.0;0.42;1.0;"2019-02-11 00:00:00.000";72019.0;5.0;100.0;"";"";"2019-02-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5973;157407.0;83707.0;45182.0;100.0;0.0;0.61;1.0;"2019-02-04 00:00:00.000";62019.0;5.0;100.0;"";"";"2019-02-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5974;157406.0;83707.0;45182.0;100.0;0.0;0.61;1.0;"2019-02-18 00:00:00.000";82019.0;5.0;100.0;"";"";"2019-02-18 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5975;157409.0;83709.0;47404.0;100.0;100.0;1.05;1.0;"2019-02-04 00:00:00.000";62019.0;5.0;0.0;"";"2019-02-04 00:00:00.000";"2019-02-04 00:00:00.000";"";"";"2019-01-24 08:18:34.320";"COMPRAS MAT PRIMA";""
5976;157426.0;83719.0;37259.0;100.0;100.0;2.81;1.0;"2019-02-04 00:00:00.000";92019.0;5.0;0.0;"";"2019-02-08 00:00:00.000";"2019-02-04 00:00:00.000";"";"";"2019-02-05 07:33:01.069";"COMPRAS MAT PRIMA";""
5977;157475.0;83755.0;2996.0;6000.0;6000.0;0.0945;1.0;"2019-01-28 00:00:00.000";"";5.0;0.0;"";"";"2019-01-28 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5978;157485.0;83623.0;37055.0;1000.0;1000.0;0.5048;1.0;"2019-02-05 00:00:00.000";"";5.0;0.0;"";"";"2019-02-05 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5979;157824.0;84019.0;7559.0;1500.0;1500.0;0.3781;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;0.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5980;157826.0;84021.0;7325.0;800.0;0.0;0.3932;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;800.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5981;157827.0;84022.0;37156.0;1000.0;1000.0;0.5048;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;0.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5982;157832.0;84027.0;20588.0;100.0;0.0;9.6248;1.0;"2019-02-19 00:00:00.000";82019.0;5.0;100.0;"";"";"2019-02-19 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5983;158134.0;84205.0;44731.0;300.0;300.0;9.95265;1.0;"2019-04-01 00:00:00.000";142019.0;1.0;0.0;"";"2019-04-08 00:00:00.000";"2019-04-01 00:00:00.000";"";"";"2019-04-02 14:36:57.038";"COMPRAS MAT PRIMA";""
5984;158133.0;84205.0;44731.0;300.0;300.0;9.95265;1.0;"2019-04-22 00:00:00.000";172019.0;1.0;0.0;"";"";"2019-04-22 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5985;157855.0;84046.0;20528.0;50.0;0.0;0.3782;1.0;"2019-03-04 00:00:00.000";102019.0;5.0;50.0;"";"";"2019-03-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5986;158136.0;84207.0;44740.0;15.0;15.0;64.28897;1.0;"2019-05-06 00:00:00.000";192019.0;1.0;0.0;"";"";"2019-05-06 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5987;158646.0;84590.0;44924.0;100.0;100.0;7.75;1.0;"2019-03-06 00:00:00.000";102019.0;1.0;0.0;"";"2019-03-18 00:00:00.000";"2019-03-06 00:00:00.000";"";"";"2019-03-11 14:09:52.229";"COMPRAS MAT PRIMA";""
5988;158138.0;84208.0;44709.0;70.0;70.0;13.43724;1.0;"2019-04-22 00:00:00.000";172019.0;1.0;0.0;"";"";"2019-04-22 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5989;158137.0;84208.0;44709.0;80.0;80.0;13.43724;1.0;"2019-05-13 00:00:00.000";202019.0;1.0;0.0;"";"";"2019-05-13 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5990;158140.0;84209.0;55966.0;150.0;150.0;3.4628;1.0;"2019-04-01 00:00:00.000";142019.0;1.0;0.0;"";"2019-04-01 00:00:00.000";"2019-04-01 00:00:00.000";"";"";"2019-03-07 06:39:33.519";"COMPRAS MAT PRIMA";""
5991;157903.0;84082.0;1065.0;2600.0;2600.0;0.097;2.0;"2019-06-24 00:00:00.000";192019.0;1.0;0.0;"";"2019-06-26 00:00:00.000";"2019-06-24 00:00:00.000";"";"";"2019-06-18 11:27:21.187";"COMPRAS MAT PRIMA";""
5992;158139.0;84209.0;55966.0;150.0;150.0;3.4628;1.0;"2019-04-15 00:00:00.000";162019.0;1.0;0.0;"";"2019-04-15 00:00:00.000";"2019-04-15 00:00:00.000";"";"";"2019-03-07 06:39:33.532";"COMPRAS MAT PRIMA";""
5993;158141.0;84210.0;16698.0;170.0;170.0;8.7736;1.0;"2019-04-29 00:00:00.000";182019.0;1.0;0.0;"";"";"2019-04-29 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5994;157929.0;84098.0;42346.0;500.0;0.0;0.114;1.0;"2019-03-11 00:00:00.000";112019.0;1.0;500.0;"";"";"2019-03-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5995;157946.0;84113.0;45182.0;100.0;0.0;0.61;1.0;"2019-02-25 00:00:00.000";92019.0;5.0;100.0;"";"";"2019-02-25 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5996;157948.0;84115.0;45184.0;100.0;100.0;0.75;1.0;"2019-02-11 00:00:00.000";82019.0;5.0;0.0;"";"";"2019-02-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5997;158076.0;84183.0;45946.0;200.0;200.0;0.23;1.0;"2019-02-04 00:00:00.000";62019.0;5.0;0.0;"";"";"2019-02-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
5998;158075.0;84183.0;45946.0;200.0;200.0;0.23;1.0;"2019-02-18 00:00:00.000";82019.0;5.0;0.0;"CONFORME FUP 14/02/19";"2019-02-18 00:00:00.000";"2019-02-18 00:00:00.000";"";"";"2019-02-15 07:45:31.591";"COMPRAS MAT PRIMA";""
5999;158074.0;84183.0;45946.0;300.0;300.0;0.23;1.0;"2019-02-25 00:00:00.000";92019.0;5.0;0.0;"";"";"2019-02-25 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6000;158077.0;84184.0;7754.0;1000.0;1000.0;0.5048;1.0;"2019-02-12 00:00:00.000";62019.0;5.0;0.0;"";"";"2019-02-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6001;158080.0;84187.0;64868.0;10.0;10.0;10.5739;1.0;"2019-04-22 00:00:00.000";172019.0;1.0;0.0;"PREVISÃO PARA DIA 22/04/19";"";"2019-04-22 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6002;158082.0;84188.0;44145.0;150.0;150.0;0.5972;1.0;"2019-04-01 00:00:00.000";142019.0;1.0;0.0;"";"2019-04-23 00:00:00.000";"2019-04-01 00:00:00.000";"";"";"2019-04-17 12:04:59.141";"COMPRAS MAT PRIMA";""
6003;158081.0;84188.0;44145.0;250.0;250.0;0.5972;1.0;"2019-05-13 00:00:00.000";202019.0;1.0;0.0;"";"";"2019-05-13 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6004;157949.0;84116.0;45946.0;100.0;100.0;0.23;1.0;"2019-02-11 00:00:00.000";92019.0;5.0;0.0;"";"";"2019-02-11 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6005;157962.0;84126.0;37259.0;100.0;100.0;2.81;1.0;"2019-02-18 00:00:00.000";72019.0;5.0;0.0;"";"";"2019-02-18 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6006;158143.0;84212.0;16699.0;300.0;300.0;6.72612;1.0;"2019-04-29 00:00:00.000";182019.0;1.0;0.0;"";"";"2019-04-29 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6007;158145.0;84213.0;44989.0;25.0;25.0;43.48518;1.0;"2019-04-22 00:00:00.000";172019.0;1.0;0.0;"";"";"2019-04-22 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6008;158144.0;84213.0;44989.0;15.0;15.0;43.48518;1.0;"2019-05-13 00:00:00.000";202019.0;1.0;0.0;"";"";"2019-05-13 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6009;158146.0;84214.0;44145.0;200.0;200.0;0.5972;1.0;"2019-04-22 00:00:00.000";182019.0;1.0;0.0;"";"2019-04-23 00:00:00.000";"2019-04-22 00:00:00.000";"";"";"2019-04-17 12:05:14.129";"COMPRAS MAT PRIMA";""
