PK_CAD,RAZAO_SOCIAL,FANTASIA
860,000,"TRANSPORTES PELLENZ LTDA","PELLENZ E/OU LEVA E TRAZ"
1696,000,"COMEPI S.R.L","COMEPI"
863,000,"LABORATORIO ALAC LTDA","ALAC"
862,000,"VANDERLEI LEAL DE MOURA E CIA LTDA-ME","DIVIMOBILE"
864,000,"WEG DRIVES & CONTROLS-AUTOMACAO LTDA - 864",
865,000,"D. DE O. DA CONCEICAO ME","ELETRO MAQUINA"
866,000,"REFEICOES NATURAS LTDA","NATURAS"
867,000,"EXACOMP IMPORTAÇÃO DE COMPONENTES ELETRONICOS LTDA","EXACOMP"
868,000,"LZ TRANSPORTES LTDA-ME","LZ TRANSPORTE E BASALTO"
869,000,"POLIDORA DE BASALTO PROTASIO LTDA-ME",
870,000,"BETH E ELIANE DESPACHANTES","ESCRITORIO DESPACHANTE"
871,000,"AUTOMATECH SISTEMAS DE AUTOMACAO LTDA",
872,000,"MARMORES E GRANITOS HP LTDA-ME",
873,000,"COPY MUNDI LTDA - ME","COPY"
874,000,"JOSE LAHIR BASTOS CRUZ","CLIMATECH"
875,000,"MAQ DE SOLDAR PLASTICOS ARAUJO LTDA","ARAUJO EQUIPAMENTOS DE SELAR PLASTICOS"
876,000,"ODERCO DISTRIBUIDORA DE ELETRONICOS","JARAGUA.COM.BR"
877,000,"KRAUS & NAIMER INDUSTRIA E COMERCIO LTDA","KRAUS & NAIMER"
879,000,"GUAIBACAR VEICULOS E PECAS LTDA","GUAIBACAR"
881,000,"RETIRADA DE LUCROS",
882,000,"DARF 2991  CONTRIBUIÇÃO PREVIDENCIÁRIA SOBRE RECEITA BRUTA","DARF 2991  CONTRIBUIÇÃO PREVIDENCIÁRIA SOBRE RECEITA BRUTA"
883,000,"RESTAURANTE GARFAO LTDA - EPP","GARFAO REST. E PIZZARIA"
884,000,"CHURRASCARIA KOMKA LTDA - EPP",
885,000,"VIA LUS COMÉRCIO DE LÂMPADAS LTDA","VIA LUS COMÉRCIO DE LÂMPADAS"
886,000,"SPORT CLUB ITAPUI","ITAPUI"
