PK_CAD,RAZAO_SOCIAL,FANTASIA
1468,000,"CONTROL PORT E COMMERCE DE PROD. ELET. ELET.LTDA","CONTROL PORT"
1469,000,"GOMES E PIVATTO ENGENHARIA E SEGURANCA","GEPST ENGENHARIA"
1470,000,"WWD USA GROUP, LLC.","WWD USA GROUP, LLC."
1471,000,"OLSEN INDÚSTRIA E COMÉRCIO S/A","OLSEN S/A"
1520,000,"MB INOX SERVICOS LTDA. - ME","MB INOX LTDA"
1472,000,"ONIXSAT RASTREAMENTO DE VEICULOS LTDA","ONIXSAT"
1473,000,"RAPIDO TRANSPAULO LTDA","RAPIDO TRANSPAULO"
1474,000,"RAPIDO GARIBALDI DE TRABSPORTES LTDA","RAPIDO GARIBALDI"
1475,000,"COMPAINHA ZAFFARI COM. E IND. LTDA","ZAFFARI"
1476,000,"TAILINE SOUZA DA ROSA BOHUSCH ME","LANCHERIA DO CHAVINHO"
1477,000,"RESFRIAR CLIMATIZADORES E EQUIPAMENTOS LTDA.","RESFRI AR"
1478,000,"OFFICER DISTRIBUIDORA DE PRODUTOS DE INFORMATICA S/A","HARDSANT"
1479,000,"MANGUEPLAST INDUSTRIA DE MANGUEIRAS LTDA","MANGUEPLAST"
1480,000,"INOVA COM DE EPIS HIG E LIMP ME","INOVA"
1522,000,"SULIFLEX INDUSTRIA E COMERCIO DE PLASTICOS LTDA","SULIFLEX FITAS ADESIVAS ESPECIAIS"
1361,000,"GABRIEL SOARES DE MEDEIROS","CONSTHANTYS"
1523,000,"TRANSPORTADORA AMERICANA LTDA","T A. TRANSPORTADORA"
1509,000,"GLOBAL TAPE IND E COM DE FITAS ADESIVAS EIRELI","GLOBAL TAPE"
1349,000,"ARTEMOLAS INDUSTRIA DE MOLAS E ARTEFATOS DE METAL LTDA","ARTEMOLAS"
1378,000,"MALHA DE PRATA COMERCIO DE CABOS LTDA","MALHA DE PRATA"
1379,000,"HDA IND. E COM. DE COMP.ELET. LTDA ME","HDA ILUMINACAO LED"
1524,000,"MASTER USINAGEM","MASTER USINAGEM"
1362,000,"RICARDO VIEGAS LOPES 29461642091","CLOCK TRANSPORTES"
1510,000,"PAULO RICARDO GUTIERRI CHAVES E FECHADURAS LTDA.","CHAVEIRO PORTAO DA ALEGRIA"
1414,000,"PRO LABORE",
1395,000,"METALURGICA CATTO LTDA","METALURGICA CATTO"
1396,000,"SOCIEDADE PAULISTA DE TUBOS FLEXÍVEIS","SPTF"
1350,000,"DANIELA ARRUDA UBER – ME","SOLASTER"
1415,000,"NATUR PEDRAS LTDA","NATUR PEDRAS"
1416,000,"TELEFONICA BRASIL S.A.","VIVO"
1417,000,"PROTEMAX TERMINAIS ELETRICOS LTDA","PROTEMAX"
1465,000,"B2W COMPANHIA DIGITAL","AMERICANAS / SUBMARINO"
1351,000,"ROSANGELA FRAGA DE NEGREIROS LESSA","ESTACAO DAS FLORES"
1525,000,"MAQUINAS AGRICOLAS JACTO S/A","JACTO"
1397,000,"CORDEIRO FIOS E CABOS ELETRICOS LTDA","CORDEIRO"
1398,000,"FUSOPAR PARAFUSOS LTDA","FUSOPAR"
1418,000,"TNT MERCURIO CARGAS E ENCOMENDAS",
1399,000,"AGENDOR SERVICOS DE INTERNET LTDA - ME",
1363,000,"PRODMEC ELETROMECÂNICA LTDA","PRODMEC"
1400,000,"MAGAZINE LUIZA S/A","MAGAZINE LUIZA"
1481,000,"UNESUL DE TRANSPORTES LTDA","UNESUL"
1482,000,"DOMIX INCORPORAÇÕES",
1483,000,"FAMAK",
1526,000,"CASA DE CARNES 20 DE SETEMBRO LTDA.","CASA DE CARNES 20 DE SETEMBRO"
1596,000,"EMERSON RODRIGUES PEDROSO ME","PEDROSO TRANSPORTES"
1484,000,"FROMM SISTEMAS DE EMBALAGENS LTDA","FROMM"
1511,000,"TECSISTEL SISTEMAS ELETRONICOS LTDA EPP","TECSISTEL"
1527,000,"RTO IMPORTACAO E COMERCIO LIMITADA - EPP","RTO IMPORTACAO E COMERCIO LIMITADA - EPP"
1512,000,"AERO RUBBER COMPANY, INC","AERO RUBBER COMPANY, INC"
1513,000,"LORENI DOS SANTOS EIRELI ME","PIZZARIA LACAVE"
1486,000,"SPRINGER CARRIER LTDA","SPRINGER"
2197,000,"SOLAR SUL COM DE ACESS PARA VEICULOS LTDA ME","OFICINA DO FILME"
1514,000,"WEG LINHARES EQUIPAMENTOS ELÉTRICOS SA","WEG LINHARES EQUIPAMENTOS ELÉTRICOS SA"
1515,000,"BRASINKS RODRIGO E B ALVES ME","BRASINKS"
1516,000,"CASA DA CONSTRUCAO GUAIBA LTDA","CASA DA CONSTRUCAO GUAIBA LTDA"
1487,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES RJ"
1488,000,"LA-SURE PRODUTOS TERMOELETRICOS E CONFECCOES LTDA","LA-SURE"
1517,000,"ALPHASUL CARGO LTDA - ME","ALPHA SUL CARGO"
1489,000,"GNS IND. E COM. DE ALUMINIO EIRELI","ALUSUPRA ALUMINIO"
1490,000,"L Z MATTOS SILVEIRA ME","RAS TRANSPORTES"
1491,000,"KARIMEX COMPONENTES ELETRONICOS LTDA","KARIMEX"
1492,000,"OI S.A","OI TELEFONIA"
1493,000,"BRASPRESS TRANSPORTES URGENTES  LTDA","BRASPRESS"
1494,000,"BRASPRESS TRANSPORTES URGENTES  LTDA","BRASPRESS"
1495,000,"QUALITY TUBOS COM. DE FERRO E ACO LTDA EPP","QUALITY TUBOS"
1528,000,"ELGIN S/A","ELGIN"
1496,000,"DELLA VITA REPRESENTACOES COM. LTDA ME","DELLA VITA"
1529,000,"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS","AG AVENIDA FARRAPOS"
1498,000,"NILSON MORAES ME","NILSON MORAES"
1499,000,"TRANSPORTES OURO NEGRO LTDA","OURONEGRO TRANSPORTES"
1530,000,"LNR - INDUSTRIA MECANICA EXPORTAÇAO E IMPORTAÇÃO LTDA","LNR"
1531,000,"FIMAL FIOS MAGNÉTICOS LTDA","FIMAL"
1535,000,"MULTIPLUG INDÚSTRIA E COMÉRCIO LTDA","MULTIPLUG"
1536,000,"CKTEX COMERCIO EIRELI - EPP","CKTEX CIKALA"
1518,000,"BURGER ARQUITETOS SOCIEDADE SIMPLES - EPP","BURGER ARQUITETOS"
1519,000,"CONEC TECHNOLOGY","CONEC"
1537,000,"CREMER S.A.","CREMER S.A."
1538,000,"F&K GROUP TECNOLOGIA EM SISTEMAS AUTOMOTIVOS LTDA","F&K GROUP"
1532,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1533,000,"INDUSTRIA E COMERCIO DE CONDUTORES ELETRICOS CLARA LTDA","CONDUCAP"
1539,000,"LEONI AUTOMOTIVE DO BRASIL LTDA","LEONI"
1549,000,"ASCOVAL INDUSTRIA E COMERCIO LTDA","ASCOVAL INDUSTRIA E COMERCIO LTDA"
2318,000,"UNESUL DE TRANSPORTES LTDA","UNESUL DE TRANSPORTES LTDA"
1540,000,"DAY BRASIL S/A","DAY BRASIL S/A"
1541,000,"MOTEC GMBH","MOTEC HEAVY-DUTY CAMERA SOLUTIONS"
1550,000,"ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT","ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT"
1542,000,"MERCOBOR IND E COM DE ART. DE BORRACHA LTDA","MERCOBOR"
1543,000,"SPHERIC COMPONENTES ÓPTICOS LTDA","SPHERIC"
1544,000,"CONDUTTI",
1545,000,"METALÚRGICA SIEMSEN LTDA.","SIEMSEN"
1546,000,"NEWARK","NEWARK"
1547,000,"MAQUINAS AGRÍCOLAS JACTO S/A - JACTO P & D","JACTO P & D"
1551,000,"MASTERTEC MANUTENCAO EM EQUIPAMENTOS LTDA","MASTERTEC SOLUÇOES EM PESAGENS"
1554,000,"CLIPPERTEC INDUSTRIAL E COMERCIAL LTDA","KYKLON"
1552,000,"TRANSPORTES SANTA CRUZ LTDA.","TRANSPORTES SANTA CRUZ LTDA."
1553,000,"ABASTECEDORA DE COMBUSTIVEIS RIOXEL LTDA","ABASTECEDORA DE COMBUSTIVEIS RIOXEL LTDA"
1548,000,"TORRES FUSIVEIS LTDA - ME","TORRES FUSIVEIS"
1555,000,"SHANGHAI CHANGSHUN ELEVATOR CABLE CO., LTDA.","CHANGSHUN ELEVATOR CABLE"
1556,000,"EQUITRONIC EQUIPAMENTOS ELETRONICOS LTDA","EQUITRONIC"
2238,000,"REBECCA EMANUELLE NERI LEITE DA SILVA 40451028848",""
1557,000,"CARGOTECH EQUIPAMENTOS E SERVICOS PARA LOGISTICA LTDA - ME","CARGOTECH EMPILHADEIRA PALETEIRA"
1558,000,"GARCIA & LUZ LTDA","RELUSIL SUL"
1559,000,"CARGOLOG SOLUCOES LOGISTICAS LTDA","CARGOLOG SOLUCOES LOGISTICAS"
1561,000,"VERTEC SERVIÇOS INDUSTRIAIS LTDA.","VERTEC SERVIÇOS INDUSTRIAIS LTDA"
1562,000,"VERTEC SERVIÇOS INDUSTRIAIS LTDA.","VERTEC SERVIÇOS INDUSTRIAIS LTDA"
1567,000,"FUSE IND.COM. E REPRESENTACAO DE COMP. ELET.LTDA EPP","FUSE E COMPONENTES"
1568,000,"ALTWIN ELECTRIC LTDA","ALTWIN ELECTRIC LTDA"
1564,000,"CIRO LOPES DA SILVA ME","CIRO LOPES DA SILVA ME"
1569,000,"LUBAS FERRAMENTARIA LTDA","LUBAS"
1565,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1578,000,"TOROID DO BRASIL IND E COM DE TRANSFORMADORES LTDA","TOROID DO BRASIL"
1566,000,"VENAX ELETRODOMÉSTICOS LTDA","VENAX"
1580,000,"ZYU BR INOVACAO E DESIGN LTDA - EPP","ZYU BR INOVACAO E DESIGN"
1571,000,"SARAIVA E SICILIANO S/A","LIVRARIA SARAIVA"
1570,000,"STIHL FERRAMENTAS MOTORIZADAS LTDA","STIHL"
1742,000,"SANTANDER FINIMP","SANTANDER FINIMP"
1581,000,"TCHE TONER COMÉRCIO DE PERIFÉRICOS DE INFORMÁTICA LTDA","TCHE TONER"
1582,000,"STILLO TRANSPORTES LTDA - EPP","STILLO TRANSPORTES LTDA - EPP"
1583,000,"JUNCAO ELETRO ELETRONICA LTDA","JUNCAO"
1584,000,"SOURIAU",
1572,000,"DIOZER RODRIGUES DIAS 01306356008","DRDIAS"
1579,000,"COMPANHIA PAULISTA DE FORÇA E LUZ","CPFL PAULISTA"
1586,000,"ESTORIL APART HOTEL LTDA - EPP","ESTORIL APART HOTEL LTDA - EPP"
1587,000,"RODRIGO EUSTAQUIO BOTELHO ALVES - ME","RODRIGO EUSTAQUIO BOTELHO ALVES - ME"
1588,000,"ICE CABOS",
1589,000,"CAT - CENTRO DE ASS. AO TRANSPORTE LTDA","CAT EXPRESS"
1573,000,"CONNECT IMPORT IMPORTADORA, EXPORTADORA E COMÉRCIO LTDA","CONNECT IMPORT IMPORTADORA, EXPORTADORA E COMÉRCIO LTDA"
1574,000,"SAVARAUTO COM. IMP. E EXPORTACAO DE VEICULOS LTDA","SAVARAUTO"
1595,000,"ASSOC EMP. DO SBE - RMPA","CARTAO TEU"
1575,000,"CENTRO DE EDUCACAO INFANTIL CONSTRUINDO O SABER LTDA - ME","CONSTRUINDO O SABER"
1577,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1590,000,"BIBIANO ELECTRIC",
1591,000,"DIEGO DAHMER DOS SANTOS E CIA LTDA ME","MERCADO JARDIM DOS LAGOS"
1592,000,"CONTRISO GESTOES VISUAIS LTDA - EPP","ISOFLEX"
1593,000,"JOSE LUIS BRINGHENTI","IMOBILIARIA 7 DE SETEMBRO"
1945,000,"JOÃO LUIS FINGER BACKES - ME","MVL DECOR GLASS"
1594,000,"BROADSPAN CAPITAL - ENGENHARIA DE NEGOCIOS E PARTICIPACOES L","BROADSPAN CAPITAL - ENGENHARIA DE NEGOCIOS E PARTICIPACOES L"
1597,000,"GOLSAT TECNOLOGIA LTDA.","GOLSAT"
1599,000,"AST MANUTENCAO E REFORMA DE MAQUINAS INDUSTRIAIS LTDA-ME","AST MANUTENCAO"
1598,000,"KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA","KALUNGA"
1600,000,"LPS SUL -CONSULTORIA DE IMOVEIS LTDA","LPS SUL -CONSULTORIA DE IMOVEIS LTDA"
1601,000,"JAMILA PATRICIA NOGUEIRA - ME","EJX EQUIPAMENTOS INDUSTRIAIS"
1602,000,"TERACOM TELEMATICA S/A","DATACOM"
1603,000,"SAO LEOPOLDO - EXPRESSO SAO MIGUEL LTDA","SAO LEOPOLDO"
1604,000,"SIMONI DA ROSA CORREA","SR ROLAMENTOS"
1607,000,"METALURGICA PADRE REUS LTDA","PADRE REUS"
2320,000,"PERFIL INDUSTRIA DE COMPONENTES AUTOMOTIVOS LTDA",
1605,000,"SMR COMERCIAL ELETRICA LTDA ME","SMR ELETRICA"
1606,000,"SELSO DA SILVA & CIA LTDA","LOJÃO DAS BATERIAS"
1608,000,"KABEL INDUSTRIA E COMERCIO DE CHICOTES ELETRICOS LTDA","KABEL"
1609,000,"GLOBAL DISTRIBUICAO DE BENS","TAQUI"
1610,000,"CYRELA SUL","CYRELA SUL"
1611,000,"WEBER TOPOGRAFIA LTDA - ME","WEBER TOPOGRAFIA LTDA - ME"
1612,000,"MBM COMERCIO E SERVICOS DE USINAGEM LTDA - EPP","MBM INDUSTRIA E COMERCIO"
1621,000,"DV TECNOLOGIA","DV TECNOLOGIA"
1622,000,"TRICOMP COMERCIAL ELETRÔNICA LTDA","TRICOMP"
1613,000,"S. L. MOTTA - ME","TERRACO - CHOPERIA E PETISCARIA"
1614,000,"TQF  TRATAMENTO FITOSSANITÁRIO LTDA","BIOSETA"
1616,000,"P.A.S INCORPORADORA LTDA ME","IMOBSUL IMOBILIARIA"
1623,000,"SULMAX COMERCIO FERRAMENTAS COMPONENTES","SULMAX COMPONENTES E FERRAMENTAS"
1617,000,"SCHUTZINGER GMBH","SCHUTZINGER"
1624,000,"JOAO WIEST COM DE SUCATAS LTDA","JW METAIS"
1625,000,"VEGA STYLE ITALIA LTDA","VEGA STYLE ITALIA LTDA"
1618,000,"ESTAGIAR INTEGRADOR EMPRESA-ESCOLA SOCIEDADE SIMPLES LTDA",
1637,000,"FENAM DNA BRASIL GESTAO E CONSULTORIA DE MARCAS EIRELI - ME","DNA BRASIL"
1626,000,"IMAM CONSULTORIA S.A.",
1627,000,"LUIZ CARLOS LITZ PRASS","AUTO CENTER PECAS E SERVICOS"
1628,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1629,000,"TESTE",
1630,000,"FUTURE ELECTRONICS DO BRASIL LTDA","FUTURE ELECTRONICS DO BRASIL LTDA"
1631,000,"WMB COMERCIO ELETRONICO LTDA","WALMART"
1632,000,"MARIO FLVIO DA COSTA ME","VIDRACARIA VIDROSUL"
1633,000,"ALUITA ALUMINIO PORTO ALEGRE LTDA","ALUITA ALUMINIO PORTO ALEGRE LTDA"
1634,000,"PICO CRIMPING TOOLS CO,INC","PICOTOOLS"
1635,000,"BLACK STREAM HOTEL LTDA EPP.","BLACK STEAM"
1636,000,"EXPRESSO LEOMAR LTDA","EXPRESSO LEOMAR"
1638,000," POLISTAR BRASIL INDÚSTRIA E COMÉRCIO DE PLÁSTICOS LTDA","POLISTAR BRASIL"
1642,000,"CCM AUTOMACAO INDUSTRIAL LTDA - EPP","CCM AUTOMACAO INDUSTRIAL LTDA - EPP"
1640,000,"OCEAN BRAZIL PRODS. NAUTICOS LTDA.","OBPLAST"
1641,000,"OHMTEC COMÉRCIO DE COMPONENTES  ELETRÔNICOS LTDA","OHMTEC"
1643,000,"LAAX TECNOLOGIA DE INFORMAÇÃO LTDA","FANTASIA: LAAX TECNOLOGIA"
2095,000,"BAU DA ELETRONICA COMPONENTES ELET LTDA - ME","BAU DA ELETRONICA"
1639,000,"DUVALE TRANSPORTES EIRELI - EPP","DUVALE TRANSPORTES"
1644,000,"KPOLTEC MAQUINAS E EQUIPAMENTOS LTDA ME","KPOLTEC"
1645,000,"CAMBIONET","CAMBIONET"
1646,000,"LEINILDE DA SILVA FERNANDES-ME","LEINILDE"
1654,000,"METTA INTEGRADORA EMPRESA ESCOLA SOCIEDADE SIMPLES LTDA - ME","METTA ESTAGIOS"
1655,000,"EDSON PADILHA DE OLIVEIRA","MP MATRIZARIA"
1656,000,"STAPLES BRASIL COMÉRCIO DE MATERIAIS DE ESCRITÓRIO LTDA.","STAPLES"
1657,000,"DIMEL MATERIAIS DE EMBALAGEM LTDA","DIMEL"
1647,000,"BRIX CARGAS AÉREAS","BRIX CARGAS AÉREAS"
1648,000,"HEATCRAFT",
1658,000,"REAL BIRIGUI COMERCIO DE MAQUINAS E FERRAMENTAS LTDA - EPP","REAL MAQUINAS"
1649,000,"MAGAZINE LUIZA S/A."," MAGAZINE LUIZA"
1650,000,"REQUIPEL COMERCIAL DE EQUIPAMENTOS LTDA","REQUIPEL COMERCIAL DE EQUIPAMENTOS LTDA"
1753,000,"JADLOG LOGISTICA S.A","JADLOG LOGISTICA S.A"
1659,000,"METALASER INDUSTRIA DE PECAS MECANICAS EIRELI","METALASER"
1651,000,"DV TECNOLOGIA ELETROELETRONICA LTDA","DV TECNOLOGIA ELETROELETRONICA LTDA"
1652,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1660,000,"SHANGHAI BARON TECHNOLOGIES CO., LTD","BARON RUBBER"
1661,000,"METALUS INDUSTRIA MECANICA LTDA","METALUS"
1662,000,"TRANSPOTECH PECAS E SERVICOS LTDA","TRANSPOTECH PECAS E SERVICOS LTDA"
1663,000,"QUEENSLAND GASKETS","QUEENSLAND GASKETS"
2261,000,"PRECIMECH SOLUÇÕES INDUSTRIAL LTDA","PRECIMECH"
1666,000,"MAICON JONATA DA SILVA DA CRUZ - ME","COVOADOS LOCACAO DE EQUIP PARA CONST CIVIL"
1667,000,"MARFIMETAL COMERCIO DE PRODUTOS PLASTICOS E METALICOS LTDA","MARFIMETAL"
1668,000,"TECNOFERRAMENTAS COMERCIAL IMPORTACAO E EXPORTACAO LTDA","TECNOFERRAMENTAS"
1664,000," QUEROTTI VEICULOS LTDA"," QUEROTTI VEICULOS LTDA"
1669,000,"ANTONIO RICARDO FRONER DE SOUZA","FRONERTEC"
1670,000,"CERVEJARIA RECULUTA LTDA","CERVEJARIA RECULUTA"
1673,000," LIVIO KRUGER & CIA LTDA"," LIVIO KRUGER"
1671,000,"GUAMIRIM AMBIENTAL LTDA - ME","GUAMIRIM"
1674,000,"ENGESF SONDAGENS E FUNDACOES LTDA","ENGESF SONDAGENS E FUNDACOES LTDA"
1675,000,"SANDRO ALVES DA SILVA","SC GUINCHOS E TRANSPORTES"
1683,000,"E S DE SOUZA FERRAGEM","E S DE SOUZA FERRAGEM"
1677,000,"IES DO BRASIL SOLUÇÕES EM EQUIPAMENTOS LTDA","SIAC"
1678,000,"JADLOG LOGISTICA LTDA","JADLOG"
1679,000,"JULIO CESAR NUNES LEMOS - ME","JULIO CESAR NUNES LEMOS - ME"
2201,000,"SPRINGER CARRIER LTDA - AM","SPRINGER CARRIER LTDA - MANAUS"
1684,000,"INDUSTRIAS PGG - TECNOLOGIA EM ARAMES E CABOS ESPECIAIS LTDA","PGG TELEFIO"
1680,000,"POLO SUL COM. E SERV. DE MAT. ELETRICOS E TELECOM","POLO SUL"
1681,000,"PRINT LOJA LTDA","PRINT LOJA"
1682,000," CIKALA COMERCIO E SERVICOS EIRELI - EPP"," CIKALA"
1685,000,"CABOLINK MONTADORA DE CABOS ELETRICOS LTDA - EPP","CABOLINK"
1689,000,"MI 24 IMPRESSOES DIGITAIS LTDA. - ME","MI REPRODUCOES"
1686,000,"DIGITAL RIVER DO BRASIL IMPORTACAO E COMERCIO DE PRODUTOS D","DIGITAL RIVER"
1687,000,"EMBRASUL INDÚSTRIA ELETRÔNICA LTDA","EMBRASUL"
1688,000,"PLUG ENERGY DO BRASIL LTDA-ME","PLUG ENERGY"
1690,000,"TRI POWER CORREIAS INDS LT","TRI POWER CORREIAS INDS LT"
1692,000,"MATV SUL ELETRONICOS LTDA","MATV SUL ELETRONICOS LTDA"
1719,000,"JUNIOR DISTRIBUIDORA","JUNIOR DISTRIBUIDORA"
2263,000,"RXR ENGENHARIA LTDA","REDANTE & REDANTE"
1703,000,"INJEPOLI INDUSTRIA E COMERCIO DE MATERIAIS PLASTICOS LTDA EP","INJEPOLI"
1691,000,"TRIPOWER CORREIAS INDUSTRIAIS LTDA","TRIPOWER"
1693,000,"SUL ESTAMPAS LTDA ME","SUL ESTAMPAS LTDA ME"
1716,000,"COELPLA - SUDAMERICANA S.A.","COELPLA"
1704,000,"CORREIAS SCHNEIDER LTDA","CORREIAS SCHNEIDER LTDA"
1705,000,"ONLINECOMPONENTS.COM",
1706,000,"TW TRANSPORTES LTDA","TW TRANSPORTES"
1720,000,"PK CABLE DO BRASIL INDUSTRIA E COMERCIO LTDA","PKC GROUP"
1707,000,"JUNIOR SUPREL SUPRIMENTOS PARA ESCRITORIO LTDA","JUNIOR SUPRIMENTOS"
1708,000,"SANCO",
1710,000,"SAMSSET COMERCIO DE COMPONENTES ELETRONICOS EIRELI","SAMSSET"
1711,000,"ARROW.COM","ARROW.COM"
1712,000,"ARROW ELECTRONICS AUSTRALIA",
1717,000,"VAPORTEC EQUIPAMENTOS INDUSTRIAIS LTDA","VAPORTEC"
1713,000,"COBREFLEX INDÚSTRIA E COMÉRCIO DE FIOS E CABOS EIRELI","COBREFLEX FIOS E CABOS ELÉTRICOS"
1714,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1715,000,"KUHN-MONTANA INDUSTRIA DE MAQUINAS","KUHN MONTANA"
1718,000,"ALP AERO TÁXI LTDA - PIEX","PIEX – TRANSPORTE EXPRESSO"
1721,000,"TORK FERRAMENTAS LTDA","TORK FORT"
1728,000,"JF SERVIÇOS DE USINAGEM LTDA","USITECH"
1729,000," I.F.C. IND. E COM. DE CONDUTORES ELETRICOS LTDA - COBRECOM","COBRECOM"
1731,000,"WBM - COMÉRCIO E MANUTENÇÃO DE INFORMÁTICA EIRELI","WBM INFORMÁTICA"
1732,000,"MELRO ELETRÔNICA COMÉRCIO E INDÚSTRIA LTDA",
1730,000,"LEMO LATIN AMERICA COMERCIO, IMP/EXP E SERV. P/ CONECTORES E","LEMO"
1697,000,"FALCON INDÚSTRIA ELETRO ELETRONICA LTDA.","FALCON INDÚSTRIA ELETRÔNICA"
1698,000,"SHIV OM BRASS INDUSTRIES","SHIV OM BRASS INDUSTRIES"
1699,000,"FREUDENBERG SEALING","LUDOWICI SEALS"
1700,000,"VEDAX INDÚSTRIA E COMÉRCIO EIRELI","VEDAX"
1709,000,"CONIMEL EMPRESA DE MATERIAL ELETRICO LTDA","CONIMEL"
1722,000,"SK COM. DE PRODUTOS PLASTICOS E EQUIP.LTDA-EPP","SK PLASTICOS"
1723,000,"HARTING LTDA","HARTING LTDA."
1724,000,"JR COMERCIAL DE AÇO","JR"
1725,000,"TECNICABOS TECNOLOGIA DE SOLUÇÕES EM CABOS LTDA","TECNICABOS"
1733,000,"MADEIREIRA BENGAR COM DE MAT DE CONSTR LTDA","MADEIREIRA BENGAR"
1734,000,"BELT CORREIAS ESPECIAIS LTDA","BELT CORREIAS"
1735,000,"MEGATUMI COM IMP E EXP LTDA EPP","MEGATUMI"
1736,000,"DIRETO EXPRESS TRANSPORTES LTDA - ME","DIRETO EXPRESS TRANSPORTES LTDA - ME"
1737,000,"CHTRANS TRANSPORTES RODOVIARIOS LTDA","CHTRANS TRANSPORTES RODOVIARIOS LTDA"
1738,000,"STARTECK SEMICONDUTORES LTDA","STARTECK"
1739,000,"EDERSON DA SILVA PEREIRA ME","GAS DOIS IRMAOS"
1741,000,"DELTA ELECTRONICS INT´L (SINGAPORE) PTE LTD","DELTA SINGAPORE"
1743,000,"MÁQUINAS AGRICOLAS JACTO S/A - JACTO ELETRO","JACTO VEÍCULOS"
1747,000,"SECAMIC INDUSTRIA E COMERCIO IMPORTAÇÃO EXPORTAÇÃO LTDA","SECAMIC BRASIL"
1749,000,"ASTROVIEIRA ADESIVOS LTDA","ZOOM COMUNICAÇÃO VISUAL"
1744,000,"AMC MUDANCAS E TRANSPORTES LTDA","GRANERO"
1745,000,"LG ENGENHARIA LTDA",
1750,000,"CONTEC INDUSTRIA E COMERCIO LTDA","CONTEC CONEXOES TECNICAS"
1751,000,"STEM SRL","STEM SRL"
1746,000,"SERDIA ELETRÔNICA INDUSTRIAL LTDA","SERDIA"
1752,000,"JAMEF TRANPORTES LTDA",
1813,000,"SERVICO SOCIAL DA INDUSTRIA SESI","SERVICO SOCIAL DA INDUSTRIA SESI"
1903,000,"ALMEIDA E BERSELLI LTDA. - ME","ALMEIDA E BERSELLI LTDA. - ME"
2264,000,"ESPIRAL PARAFUSOS E FERRAMENTAS LTDA",
1754,000,"M.N. USIMETAL METALÚRGICA LTDA - ME","USIMETAL"
1760,000,"OBSERVATORIO SOCIAL DE GUAIBA","OBSERVATORIO SOCIAL DE GUAIBA"
1763,000,"MULTINACIONAL - DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTD","SCHNEIDER DISTRIBUIDORA"
1764,000,"JAIME RAITZ E CIA LTDA","JAIME RAITZ E CIA LTDA"
1755,000,"PROTON CABOS ESPECIAIS","PROTON"
1756,000,"RALP SERVIÇOS E PEÇAS LTDA","RALP INDUSTRIAL"
1757,000,"FERRAGENS NEGRAO COM LTDA - GUAIBA","FERRAGENS NEGRAO"
2321,000,"INCOMAGRI INDUSTRIA COMERCIO DE MAQUINAS AGRICOLAS LTDA","INCOMAGRI"
1758,000,"MAQUITEL MAQUINAS E TERRAPLANAGEM LTDA","MAQUITEL MAQUINAS E TERRAPLANAGEM LTDA"
2181,000,"BEVIAN COMERCIAL E IMPORTADORA LTDA","BEVIAN"
1761,000,"INTERMEC SOUTH AMERICA LTDA","HONEYWELL"
1766,000,"WETZEL","WETZEL - MARIA LUIZA REPRESENTAÇÃO"
1765,000,"ELCOA INDUSTRIA E COMERCIO LTDA","ELCOA"
1767,000,"UPS DO BRASIL REMESSAS EXPRESSAS LTDA","UPS DO BRASIL REMESSAS EXPRESSAS LTDA"
1768,000,"TECABLE PRODUTOS ELETRONICOS LTDA","TECABLE"
1769,000,"PORTO BALANCAS LTDA ME","PORTO BALANCAS LTDA ME"
1773,000,"RGA FERRAMENTARIA LTDA-ME","RGA"
1770,000,"CONSORCIO ITAU","CONSORCIO ITAU"
1771,000,"CP COMÉRCIO DE COMPONENTES ELETRÔNICOS I. E E. LTDA-ME","CP ELETRONICS"
1759,000,"ÍCARO EXPRESS LOGISTICS LTDA","ÍCARO EXPRESS"
1772,000,"DANIEL LUMERTZ DA SILVA","GRAFICA LUMERTZ"
1775,000,"LATITUDE LOGISTICA LTDA - ME","LATITUDE LOG"
1808,000,"M.R. SEVERO & CIA. LTDA.","M.R. SEVERO & CIA. LTDA."
1788,000,"TRANSPORTADORA TRANS-LOSANGELES LTDA - EPP","TRANS LOSANGELES"
1790,000,"SOUZA LANZ PARAFUSOS LTDA-EPP","SL PARAFUSOS"
1783,000,"FIZZI INCORPORADORA DE IMÓVEIS LTDA","FIZZI INCORPORADORA"
1784,000,"P.P.R. TOPAZIO INCORPORACOES SPE LTDA","TOPAZIO INCORPORACOES"
