"";"PK_FIC";"FK_PROACAB";"FK_PRO";"QUANTIDADE";"ORDEM";"MAT_CLI";"RELAT_SUPR";"ALIQ_ICMS";"FK_PRO_BENEF";"QTD_PRO_BENEF"
149;1627594.0;76859.0;72469.0;1.0;"";"N";"N";"";"";""
150;1627595.0;76859.0;36817.0;1.0;"";"N";"N";"";"";""
151;1627596.0;76859.0;36788.0;51.0;"";"N";"N";"";"";""
152;1627597.0;76859.0;69455.0;1.0;"";"N";"N";"";"";""
153;1627598.0;76859.0;36812.0;1.0;"";"N";"N";"";"";""
154;1627599.0;76859.0;1916.0;1.0;"";"N";"N";"";"";""
155;1627600.0;76859.0;7862.0;1.0;"";"N";"N";"";"";""
156;1627601.0;76859.0;2647.0;2.0;"";"N";"N";"";"";""
157;1627602.0;76859.0;45086.0;1.0;"";"N";"N";"";"";""
158;1627603.0;76859.0;44729.0;2.0;"";"N";"N";"";"";""
159;1627604.0;76859.0;36554.0;28.0;"";"N";"N";"";"";""
160;1627605.0;76859.0;16699.0;1.0;"";"N";"N";"";"";""
161;1627606.0;76859.0;16692.0;9.0;"";"N";"N";"";"";""
162;1627607.0;76859.0;17233.0;3.0;"";"N";"N";"";"";""
163;1627608.0;76859.0;36809.0;1.0;"";"N";"N";"";"";""
164;1627609.0;76859.0;44145.0;1.0;"";"N";"N";"";"";""
165;1627610.0;76859.0;36821.0;2.0;"";"N";"N";"";"";""
166;1627611.0;76859.0;72473.0;1.0;"";"N";"N";"";"";""
167;1627612.0;76859.0;72230.0;2.0;"";"N";"N";"";"";""
168;1627613.0;76859.0;37014.0;1.0;"";"N";"N";"";"";""
169;1627614.0;76859.0;46576.0;1.0;"";"N";"N";"";"";""
170;1627615.0;76859.0;36790.0;8.0;"";"N";"N";"";"";""
171;1627616.0;76859.0;1062.0;2.0;"";"N";"N";"";"";""
172;1627617.0;76859.0;1065.0;2.0;"";"N";"N";"";"";""
173;1627618.0;76859.0;908.0;17.0;"";"N";"N";"";"";""
174;1627619.0;76859.0;907.0;18.0;"";"N";"N";"";"";""
175;1627620.0;76859.0;44738.0;1.0;"";"N";"N";"";"";""
176;1627621.0;76859.0;36770.0;1.0;"";"N";"N";"";"";""
177;1627622.0;76859.0;46580.0;1.0;"";"N";"N";"";"";""
178;1627623.0;76859.0;36774.0;10.0;"";"N";"N";"";"";""
179;1627624.0;76859.0;44779.0;1.0;"";"N";"N";"";"";""
180;1627625.0;76859.0;44732.0;2.0;"";"N";"N";"";"";""
181;1627626.0;76859.0;44731.0;1.0;"";"N";"N";"";"";""
182;1627627.0;76859.0;69456.0;2.0;"";"N";"N";"";"";""
183;1627628.0;76859.0;42432.0;2.0;"";"N";"N";"";"";""
184;1627629.0;76859.0;36490.0;1.0;"";"N";"N";"";"";""
185;1627630.0;76859.0;44728.0;4.0;"";"N";"N";"";"";""
186;1627631.0;76859.0;36716.0;12.0;"";"N";"N";"";"";""
187;1627632.0;76859.0;36485.0;1.0;"";"N";"N";"";"";""
188;1627633.0;76859.0;37045.0;8.0;"";"N";"N";"";"";""
189;1627634.0;76859.0;44727.0;1.0;"";"N";"N";"";"";""
190;1627635.0;76859.0;800.0;2.0;"";"N";"N";"";"";""
191;1627636.0;76859.0;85820.0;23.04;"";"N";"N";"";"";""
192;1627637.0;76859.0;45190.0;3.25;"";"N";"N";"";"";""
193;1627638.0;76859.0;76860.0;1.0;"";"N";"N";"";"";""
194;1627639.0;76859.0;36734.0;2.0;"";"N";"N";"";"";""
195;1627640.0;76859.0;36525.0;1.0;"";"N";"N";"";"";""
196;1627641.0;76859.0;38359.0;2.0;"";"N";"N";"";"";""
197;1627643.0;76859.0;20802.0;0.1;"";"N";"N";"";"";""
198;1627644.0;76859.0;36526.0;1.0;"";"N";"N";"";"";""
199;1627645.0;76859.0;5745.0;45.7;"";"N";"N";"";"";""
200;1627646.0;76859.0;5746.0;1.52;"";"N";"N";"";"";""
201;1627647.0;76859.0;5741.0;17.35;"";"N";"N";"";"";""
202;1627648.0;76859.0;5752.0;3.9;"";"N";"N";"";"";""
203;1627649.0;76859.0;5753.0;23.385;"";"N";"N";"";"";""
204;1627650.0;76859.0;5751.0;19.675;"";"N";"N";"";"";""
205;1627651.0;76859.0;5750.0;8.53;"";"N";"N";"";"";""
206;1627652.0;76859.0;5754.0;73.951;"";"N";"N";"";"";""
207;1627653.0;76859.0;5749.0;12.42;"";"N";"N";"";"";""
208;1627654.0;76859.0;9989.0;4.595;"";"N";"N";"";"";""
209;1627655.0;76859.0;37156.0;56.065;"";"N";"N";"";"";""
210;1627656.0;76859.0;37055.0;22.699;"";"N";"N";"";"";""
211;1627657.0;76859.0;36998.0;17.525;"";"N";"N";"";"";""
212;1627658.0;76859.0;7754.0;10.125;"";"N";"N";"";"";""
213;1627659.0;76859.0;37168.0;4.74;"";"N";"N";"";"";""
214;1627660.0;76859.0;7755.0;19.045;"";"N";"N";"";"";""
215;1627661.0;76859.0;37012.0;0.8;"";"N";"N";"";"";""
216;1627662.0;76859.0;7307.0;8.86;"";"N";"N";"";"";""
217;1627663.0;76859.0;37013.0;8.14;"";"N";"N";"";"";""
218;1627664.0;76859.0;7308.0;15.193;"";"N";"N";"";"";""
219;1627665.0;76859.0;36982.0;1.985;"";"N";"N";"";"";""
220;1627666.0;76859.0;46583.0;0.825;"";"N";"N";"";"";""
221;1627667.0;76859.0;36983.0;0.825;"";"N";"N";"";"";""
222;1627668.0;76859.0;37171.0;1.65;"";"N";"N";"";"";""
223;1627669.0;76859.0;36985.0;4.1;"";"N";"N";"";"";""
224;1627670.0;76859.0;36984.0;1.68;"";"N";"N";"";"";""
225;1627671.0;76859.0;37151.0;1.42;"";"N";"N";"";"";""
226;1627672.0;76859.0;44780.0;1.02;"";"N";"N";"";"";""
227;1627673.0;76859.0;44739.0;1.0;"";"N";"N";"";"";""
228;1627674.0;76859.0;45070.0;1.0;"";"N";"N";"";"";""
229;1627675.0;76859.0;45071.0;1.0;"";"N";"N";"";"";""
230;1627676.0;76859.0;7324.0;3.13;"";"N";"N";"";"";""
231;1627677.0;76859.0;7559.0;2.95;"";"N";"N";"";"";""
232;1720140.0;76859.0;36760.0;11.0;"";"N";"N";"";"";""
233;1516749.0;44869.0;36788.0;1.0;"";"N";"N";"";"";""
234;1627678.0;76859.0;17226.0;6.0;"";"N";"N";"";"";""
235;1627679.0;76859.0;37268.0;0.08;"";"N";"N";"";"";""
236;1627680.0;76859.0;9666.0;1.0;"";"N";"N";"";"";""
237;1627682.0;76862.0;47404.0;3.065;"";"N";"N";"";"";""
238;1627683.0;76862.0;36790.0;4.0;"";"N";"N";"";"";""
239;1627684.0;76862.0;76861.0;1.0;"";"N";"N";"";"";""
240;1627685.0;76862.0;85820.0;49.855;"";"N";"N";"";"";""
241;1627686.0;76862.0;37259.0;0.1;"";"N";"N";"";"";""
242;1627687.0;76862.0;37252.0;0.04;"";"N";"N";"";"";""
243;1627688.0;76862.0;37262.0;0.03;"";"N";"N";"";"";""
244;1627689.0;76862.0;45180.0;9.08;"";"N";"N";"";"";""
245;1627690.0;76862.0;45182.0;2.4;"";"N";"N";"";"";""
246;1627691.0;76862.0;45184.0;1.9;"";"N";"N";"";"";""
247;1627692.0;76862.0;45185.0;1.55;"";"N";"N";"";"";""
248;1627693.0;76862.0;45186.0;3.23;"";"N";"N";"";"";""
249;1627694.0;76862.0;45190.0;5.54;"";"N";"N";"";"";""
250;1627695.0;76862.0;2704.0;4.0;"";"N";"N";"";"";""
251;1627696.0;76862.0;3111.0;4.0;"";"N";"N";"";"";""
252;1627697.0;76862.0;44722.0;4.0;"";"N";"N";"";"";""
253;1627698.0;76862.0;44717.0;4.0;"";"N";"N";"";"";""
254;1627699.0;76862.0;44720.0;12.0;"";"N";"N";"";"";""
255;1627700.0;76862.0;38355.0;12.0;"";"N";"N";"";"";""
256;1627701.0;76862.0;36487.0;8.0;"";"N";"N";"";"";""
257;1627702.0;76862.0;36579.0;7.0;"";"N";"N";"";"";""
258;1627703.0;76862.0;38361.0;2.0;"";"N";"N";"";"";""
259;1627704.0;76862.0;38373.0;6.0;"";"N";"N";"";"";""
260;1627705.0;76862.0;44739.0;1.0;"";"N";"N";"";"";""
261;1627706.0;76862.0;44709.0;2.0;"";"N";"N";"";"";""
262;1627707.0;76862.0;17232.0;53.0;"";"N";"N";"";"";""
263;1627708.0;76862.0;36550.0;81.0;"";"N";"N";"";"";""
264;1627709.0;76862.0;36554.0;77.0;"";"N";"N";"";"";""
265;1627710.0;76862.0;44740.0;1.0;"";"N";"N";"";"";""
266;1627711.0;76862.0;36773.0;1.0;"";"N";"N";"";"";""
267;1627712.0;76862.0;36822.0;1.0;"";"N";"N";"";"";""
268;1627713.0;76862.0;21831.0;1.0;"";"N";"N";"";"";""
269;1627714.0;76862.0;39009.0;1.0;"";"N";"N";"";"";""
270;1627715.0;76862.0;36967.0;2.0;"";"N";"N";"";"";""
271;1627716.0;76862.0;44728.0;22.0;"";"N";"N";"";"";""
272;1627717.0;76862.0;36716.0;22.0;"";"N";"N";"";"";""
273;1627718.0;76862.0;69449.0;3.0;"";"N";"N";"";"";""
274;1627719.0;76862.0;69452.0;3.0;"";"N";"N";"";"";""
275;1627720.0;76862.0;36498.0;1.0;"";"N";"N";"";"";""
276;1627721.0;76862.0;36490.0;2.0;"";"N";"N";"";"";""
277;1627722.0;76862.0;36482.0;3.0;"";"N";"N";"";"";""
278;1627723.0;76862.0;36485.0;1.0;"";"N";"N";"";"";""
279;1627724.0;76862.0;36635.0;6.0;"";"N";"N";"";"";""
280;1627725.0;76862.0;36722.0;8.0;"";"N";"N";"";"";""
281;1627726.0;76862.0;36484.0;2.0;"";"N";"N";"";"";""
282;1627727.0;76862.0;72473.0;3.0;"";"N";"N";"";"";""
283;1627728.0;76862.0;36809.0;3.0;"";"N";"N";"";"";""
284;1627729.0;76862.0;72233.0;3.0;"";"N";"N";"";"";""
285;1627730.0;76862.0;49487.0;3.0;"";"N";"N";"";"";""
286;1627731.0;76862.0;69455.0;3.0;"";"N";"N";"";"";""
287;1627732.0;76862.0;36812.0;3.0;"";"N";"N";"";"";""
288;1627733.0;76862.0;64863.0;2.0;"";"N";"N";"";"";""
289;1627734.0;76862.0;36816.0;2.0;"";"N";"N";"";"";""
290;1627735.0;76862.0;1916.0;2.0;"";"N";"N";"";"";""
291;1627736.0;76862.0;819.0;3.0;"";"N";"N";"";"";""
292;1627737.0;76862.0;44402.0;1.0;"";"N";"N";"";"";""
293;1627738.0;76862.0;44400.0;17.0;"";"N";"N";"";"";""
294;1627739.0;76862.0;44401.0;6.0;"";"N";"N";"";"";""
295;1627740.0;76862.0;44403.0;1.0;"";"N";"N";"";"";""
296;1627741.0;76862.0;72218.0;5.0;"";"N";"N";"";"";""
297;1627742.0;76862.0;36814.0;5.0;"";"N";"N";"";"";""
298;1627743.0;76862.0;37823.0;2.0;"";"N";"N";"";"";""
299;1627744.0;76862.0;19498.0;10.0;"";"N";"N";"";"";""
300;1627745.0;76862.0;36634.0;2.0;"";"N";"N";"";"";""
301;1627746.0;76862.0;19496.0;10.0;"";"N";"N";"";"";""
302;1627747.0;76862.0;5745.0;38.165;"";"N";"N";"";"";""
303;1627748.0;76862.0;5746.0;17.525;"";"N";"N";"";"";""
304;1627749.0;76862.0;5741.0;12.965;"";"N";"N";"";"";""
305;1627750.0;76862.0;5752.0;2.475;"";"N";"N";"";"";""
306;1627751.0;76862.0;5753.0;5.085;"";"N";"N";"";"";""
307;1627752.0;76862.0;5751.0;36.76;"";"N";"N";"";"";""
308;1627753.0;76862.0;5750.0;10.3;"";"N";"N";"";"";""
309;1627754.0;76862.0;5754.0;47.35;"";"N";"N";"";"";""
310;1627755.0;76862.0;5749.0;9.075;"";"N";"N";"";"";""
311;1627756.0;76862.0;7323.0;1.77;"";"N";"N";"";"";""
312;1627757.0;76862.0;9983.0;1.77;"";"N";"N";"";"";""
313;1627758.0;76862.0;7486.0;1.775;"";"N";"N";"";"";""
314;1627759.0;76862.0;9986.0;17.765;"";"N";"N";"";"";""
315;1627760.0;76862.0;9989.0;12.775;"";"N";"N";"";"";""
316;1627761.0;76862.0;7559.0;4.765;"";"N";"N";"";"";""
317;1627762.0;76862.0;9988.0;14.48;"";"N";"N";"";"";""
318;1627763.0;76862.0;7325.0;4.93;"";"N";"N";"";"";""
319;1627764.0;76862.0;37055.0;120.568;"";"N";"N";"";"";""
320;1627765.0;76862.0;36998.0;19.925;"";"N";"N";"";"";""
321;1627766.0;76862.0;7754.0;14.325;"";"N";"N";"";"";""
322;1627767.0;76862.0;37168.0;1.79;"";"N";"N";"";"";""
323;1627768.0;76862.0;7755.0;3.44;"";"N";"N";"";"";""
324;1627769.0;76862.0;37012.0;4.43;"";"N";"N";"";"";""
325;1627770.0;76862.0;37011.0;2.81;"";"N";"N";"";"";""
326;1627771.0;76862.0;7307.0;31.86;"";"N";"N";"";"";""
327;1627772.0;76862.0;37169.0;5.01;"";"N";"N";"";"";""
328;1627773.0;76862.0;37013.0;32.22;"";"N";"N";"";"";""
329;1627774.0;76862.0;7308.0;8.75;"";"N";"N";"";"";""
330;1627775.0;76862.0;37171.0;12.665;"";"N";"N";"";"";""
331;1627776.0;76862.0;36982.0;2.41;"";"N";"N";"";"";""
332;1627777.0;76862.0;46583.0;1.01;"";"N";"N";"";"";""
333;1627778.0;76862.0;36983.0;0.9;"";"N";"N";"";"";""
334;1627779.0;76862.0;36984.0;3.55;"";"N";"N";"";"";""
335;1627780.0;76862.0;37147.0;2.87;"";"N";"N";"";"";""
336;1627781.0;76862.0;20588.0;1.41;"";"N";"N";"";"";""
337;1627782.0;76862.0;38359.0;4.0;"";"N";"N";"";"";""
338;1627783.0;76862.0;36860.0;2.0;"";"N";"N";"";"";""
339;1627784.0;76862.0;72230.0;1.0;"";"N";"N";"";"";""
340;1627785.0;76862.0;36821.0;1.0;"";"N";"N";"";"";""
341;1627786.0;76862.0;72469.0;1.0;"";"N";"N";"";"";""
342;1627787.0;76862.0;36817.0;1.0;"";"N";"N";"";"";""
343;1627788.0;76862.0;45078.0;40.0;"";"N";"N";"";"";""
344;1627789.0;76862.0;45946.0;7.58;"";"N";"N";"";"";""
345;1627790.0;76862.0;37268.0;0.18;"";"N";"N";"";"";""
346;1627791.0;76862.0;45187.0;0.7;"";"N";"N";"";"";""
347;1627792.0;76862.0;9666.0;1.0;"";"N";"N";"";"";""
348;1622397.0;53326.0;9666.0;1.0;"";"N";"N";"";"";""
349;1622399.0;44868.0;9666.0;1.0;"";"N";"N";"";"";""
350;1622406.0;44869.0;9666.0;1.0;"";"N";"N";"";"";""
351;1622430.0;50125.0;9666.0;1.0;"";"N";"N";"";"";""
352;1681875.0;63694.0;36760.0;1.0;"";"N";"N";"";"";""
353;1681876.0;63694.0;72218.0;2.0;"";"N";"N";"";"";""
354;1681877.0;63694.0;36814.0;2.0;"";"N";"N";"";"";""
355;1681879.0;63694.0;9666.0;1.0;"";"N";"N";"";"";""
356;1681880.0;63694.0;64868.0;1.0;"";"N";"N";"";"";""
357;1681883.0;63694.0;81182.0;1.0;"";"N";"N";"";"";""
358;1687706.0;63694.0;2996.0;4.6801;"";"N";"N";"";"";""
359;1687946.0;63694.0;5751.0;2.077;"";"N";"N";"";"";""
360;1687947.0;63694.0;5741.0;2.125;"";"N";"N";"";"";""
361;1687948.0;63694.0;5745.0;6.881;"";"N";"N";"";"";""
362;1687949.0;63694.0;37055.0;5.601;"";"N";"N";"";"";""
363;1687950.0;63694.0;7308.0;3.484;"";"N";"N";"";"";""
364;1687951.0;63694.0;7307.0;10.026;"";"N";"N";"";"";""
365;1687952.0;63694.0;36998.0;5.249;"";"N";"N";"";"";""
366;1687953.0;63694.0;7754.0;2.998;"";"N";"N";"";"";""
367;1687954.0;63694.0;5750.0;4.716;"";"N";"N";"";"";""
368;1687955.0;63694.0;7559.0;7.908;"";"N";"N";"";"";""
369;1687956.0;63694.0;7325.0;8.095;"";"N";"N";"";"";""
370;1687957.0;63694.0;5754.0;19.464;"";"N";"N";"";"";""
371;1687958.0;63694.0;5749.0;1.742;"";"N";"N";"";"";""
372;1687959.0;63694.0;5752.0;2.347;"";"N";"N";"";"";""
373;1687960.0;63694.0;37169.0;7.356;"";"N";"N";"";"";""
374;1687961.0;63694.0;5753.0;2.752;"";"N";"N";"";"";""
375;1695735.0;76859.0;47903.0;11.0;"";"N";"N";"";"";""
376;1721277.0;53326.0;17232.0;2.0;"";"N";"N";"";"";""
377;1750548.0;63694.0;36537.0;3.0;"";"N";"N";"";"";""
378;1754065.0;63694.0;44404.0;1.0;"";"N";"N";"";"";""
379;1754066.0;63694.0;56858.0;1.0;"";"N";"N";"";"";""
