,CPD_MP,OC,FORNECEDOR,QTD_PENDENTE_OC,ENTREGA,SIMBOLO,VALOR_TOTAL
54,19498.0,107315.0,SECCON INDUSTRIA COMERCIO LTDA,1000.0,2020-02-24,US$,33.6
55,19498.0,107315.0,SECCON INDUSTRIA COMERCIO LTDA,5000.0,2020-03-02,US$,168.0
56,20528.0,107279.0,VRM COM E REC DE ARTEFATOS PLASTICO LTDA,50.0,2020-03-09,R$,18.91
57,20588.0,106803.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,100.0,2020-02-25,R$,1029.8700000000001
58,20588.0,107245.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,100.0,2020-03-03,R$,1029.8700000000001
59,20802.0,107703.0,VRM COM E REC DE ARTEFATOS PLASTICO LTDA,100.0,2020-03-16,R$,10.56
60,36484.0,106614.0,ETESSADAHNIAR IND. E COM. DE AUTO PECAS LTDA,800.0,2020-02-24,R$,627.6448
61,36487.0,98085.0,ARROW BRASIL S.A,2000.0,2020-02-03,R$,1534.4
62,36487.0,105219.0,ARROW BRASIL S.A,2000.0,2020-06-08,R$,1534.4
63,36487.0,105219.0,ARROW BRASIL S.A,6000.0,2020-04-20,R$,4603.2
64,36487.0,106615.0,ARROW BRASIL S.A,1000.0,2020-06-22,R$,767.2
65,36487.0,106615.0,ARROW BRASIL S.A,1000.0,2020-06-29,R$,767.2
66,36487.0,107463.0,ARROW BRASIL S.A,1000.0,2020-06-29,R$,767.2
67,36490.0,106161.0,ARROW BRASIL S.A,100.0,2020-03-23,R$,339.89
68,36525.0,104717.0,ETESSADAHNIAR IND. E COM. DE AUTO PECAS LTDA,15.0,2020-01-30,R$,3.5084999999999997
69,36525.0,106617.0,ETESSADAHNIAR IND. E COM. DE AUTO PECAS LTDA,20.0,2020-02-17,R$,4.678
70,36526.0,105221.0,ARROW BRASIL S.A,100.0,2020-04-27,R$,273.27
71,36526.0,107124.0,ARROW BRASIL S.A,100.0,2020-06-08,R$,273.27
72,36550.0,103329.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-03-02,R$,2573.2
73,36550.0,106156.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,8000.0,2020-04-20,R$,5146.4
74,36550.0,106612.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-20,R$,2573.2
75,36550.0,107117.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-13,R$,2573.2
76,36550.0,107117.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-05-04,R$,2573.2
77,36554.0,102910.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-02-24,R$,2876.64
